# X(mm) Y(mm) Z(mm)
861.679 548.151 99.942
862.379 606.240 99.826
862.276 580.991 99.803
863.617 601.278 99.907
866.234 532.394 100.165
864.925 588.261 99.981
864.925 588.261 99.981
862.680 571.931 99.717
865.740 584.412 99.982
822.131 512.645 94.925
866.107 510.745 100.000
866.107 510.745 100.000
867.258 543.833 100.014
871.590 524.961 100.368
868.369 536.808 99.987
868.169 565.639 99.899
868.169 565.639 99.899
869.676 558.657 99.991
870.784 557.658 100.036
871.633 502.104 100.120
871.633 502.104 100.120
869.995 526.001 99.832
868.289 715.958 99.584
871.389 556.188 99.748
870.221 714.143 99.571
874.840 530.216 100.085
874.840 530.216 100.085
874.205 529.739 99.995
874.205 529.739 99.995
880.266 718.102 99.353
882.540 713.308 99.133
882.054 712.018 98.538
890.048 710.849 99.054
895.382 711.231 99.106
898.976 712.581 99.305
898.976 712.581 99.305
900.455 708.924 99.405
903.434 597.194 99.650
902.052 708.293 99.433
903.381 673.275 99.504
902.397 709.346 99.294
907.232 673.481 99.654
902.728 713.284 99.048
906.299 667.846 99.429
909.010 371.090 99.619
911.192 666.667 99.762
914.045 664.573 99.882
910.157 675.848 99.454
913.363 604.559 99.726
910.116 715.789 99.363
916.910 600.451 99.783
